interval_start_utc,,net_load,renewables,renewables_to_load_ratio,load.load,load_forecast.load_forecast,fuel_mix.coal_and_lignite,fuel_mix.hydro,fuel_mix.nuclear,fuel_mix.power_storage,fuel_mix.solar,fuel_mix.wind,fuel_mix.natural_gas,fuel_mix.other,battery_discharge_to_load_ratio
2024-05-04 21:00:00,,31884.5333333333,23874.4,0.428650518524322,55696.5,55802.7416356405,4328.25,62.4333333333333,3714.50833333333,66.3166666666667,6989.95,16822.0166666667,23748.7833333333,0,0.001191837198834
2024-05-04 22:00:00,,33424.5666666667,21683.3416666667,0.393859809763749,55045.25,55051.2370554606,4424.98333333333,62.6583333333333,3714.05,177.191666666667,5281.375,16339.3083333333,25080.6166666667,0,0.003231766147518
2024-05-04 23:00:00,,34315.3666666667,19620.2,0.364348803500259,53845.0833333333,53645.4922485352,4654.11666666667,90.4833333333334,3714.49166666667,153.691666666667,2925.76666666667,16603.95,25657.3916666667,0,0.002857336021512
2024-05-05 00:00:00,,35951.925,16532.25,0.315507358925351,52376.8333333333,52721.0648854574,5217.25,107.341666666667,3713.81666666667,599.483333333333,809.716666666667,15615.1916666667,26209.875,0,0.011467524457872
2024-05-05 01:00:00,,37381.45,14832.4833333333,0.284628932201168,52108.8333333333,52016.1752115885,6080.90833333333,105.1,3713.60833333333,386.025,35.1166666666667,14692.2666666667,27062.8583333333,0,0.007407054586492
2024-05-05 02:00:00,,36746.425,14591.475,0.28459874343057,51263.6666666667,51398.6135686239,6157.16666666667,74.2333333333333,3713.61666666667,221.716666666667,0.008333333333333,14517.2333333333,26649.5833333333,0,0.00432698598522
2024-05-05 03:00:00,,35023.0916666667,14696.5666666667,0.296063867811547,49659,49859.9080365499,5515.26666666667,60.6583333333333,3714.66666666667,60.9666666666667,0.691666666666667,14635.2166666667,25919.475,0,0.001230767870457
2024-05-05 04:00:00,,31767,15604.8333333333,0.330082555939493,47311.4166666667,47840.6911977132,4327.58333333333,60.4166666666667,3714.74166666667,38.7083333333333,0.366666666666667,15544.05,23820.0916666667,0,0.000812864205175
2024-05-05 05:00:00,,29755.2583333333,15534.5083333333,0.343250210993433,45228.9166666667,45506.3186569214,3979.75833333333,60.85,3716.05,157.391666666667,0.4,15473.2583333333,22006.1166666667,0,0.003463730751575
2024-05-05 06:00:00,,31022.7166666667,12651.5083333333,0.289979824382447,43613.5833333333,43845.9890238444,4190.24166666667,60.6416666666667,3715.54166666667,26.4083333333333,0.391666666666667,12590.475,23201.95,0,0.000602951907727
2024-05-05 07:00:00,,31573.1083333333,10648.925,0.252715447499832,42112.1666666667,42641.0758349101,4448.1,109.866666666667,3715.7,125.333333333333,0.391666666666667,10538.6666666667,23341.3166666667,0,0.002991213693119
2024-05-05 08:00:00,,33317.9083333333,7673.475,0.187575897555616,40880.0833333333,41460.3642628988,5529.66666666667,111.3,3715.46666666667,346.425,0.533333333333333,7561.64166666667,23786.6916666667,0,0.008444817885514
2024-05-05 09:00:00,,35178.9916666667,5052.90833333333,0.125922228166128,40122.5,40454.9737421672,6272.14166666667,109.4,3716.13333333333,333.933333333333,0.408333333333333,4943.1,24739.7666666667,0,0.008314598182681
2024-05-05 10:00:00,,35758.675,4328.29166666667,0.108230943215736,39977.6666666667,40005.9575080872,6384.64166666667,109.3,3716.86666666667,326.558333333333,0.408333333333333,4218.58333333333,25092.5666666667,0,0.008172224852083
2024-05-05 11:00:00,,36107.7333333333,3619.35,0.091357813158308,39617.5833333333,40158.4804827372,6213.925,109.5,3716.50833333333,706.35,2.71666666666667,3507.13333333333,25141.1583333333,0,0.017828013234774
2024-05-05 12:00:00,,35220.3,4869.775,0.121643289092624,39983.5833333333,39897.3103383382,6046.59166666667,106.491666666667,3716.275,273.7,837.008333333333,3926.275,24861.6916666667,0,0.006893332011405
2024-05-05 13:00:00,,34306.9333333333,7944.58333333333,0.188237543936562,42158.6666666667,41013.6083730062,5865.65,92.85,3715.75,131.75,3796.36666666667,4055.36666666667,24304.7916666667,0,0.003110749471284
2024-05-05 14:00:00,,34038.425,9921.33333333333,0.226007528926162,43881.25,43514.6061299642,5757.15,78.5083333333333,3715.775,77.9916666666667,5501.55833333333,4341.26666666667,24286.7833333333,0,0.001779716222725
2024-05-05 15:00:00,,33941.7583333333,11432.275,0.252278621367049,45295.9166666667,45522.6794865926,5702.80833333333,78.1166666666667,3715.81666666667,107.933333333333,6761.49166666667,4592.66666666667,24131.5833333333,0,0.002380849001358
2024-05-05 16:00:00,,34395.425,13560.625,0.283077084740922,47883.25,47076.4199117025,5812.74166666667,72.8,3716.48333333333,110.508333333333,8358.475,5129.35,24558.2916666667,0,0.002294068099094
2024-05-05 17:00:00,,34593.4416666667,15492.0666666667,0.309645567808917,50024.8333333333,49574.0209223429,5832.89166666667,60.675,3716,72.15,9859.59166666667,5571.8,24907.9416666667,0,0.001439535495652
2024-05-05 18:00:00,,34380.1166666667,16744.225,0.327893016847853,51061.5,51720.6781158447,5395.25833333333,62.8416666666667,3716.25,70.9666666666667,11109.0833333333,5572.3,25023.4166666667,0,0.001389927340688
2024-05-05 19:00:00,,34971.375,16572.1916666667,0.321932455367828,51480.5833333333,52037.1278483073,5580.225,62.9833333333333,3716.325,118.9,10698.2,5811.00833333333,25492.15,0,0.002308620936378
2024-05-05 20:00:00,,35338.925,16903.0583333333,0.323935187845652,52179.1666666667,51955.5352605184,5715.56666666667,62.8166666666667,3715.95,64.925,10616.7166666667,6223.525,25685.3583333333,0,0.001243322094389
2024-05-05 21:00:00,,35619.725,17666.6666666667,0.331935724061013,53223.5833333333,52681.550587972,5350.76666666667,62.8083333333333,3716.2,72.2666666666667,10355.05,7248.80833333333,26323.7,0,0.001357660482088
